batch_index,sample_index,query,response,reward
0,0,ill probably be silent for a while," along the way. He stares at the ""tree"" in the sky that is far and wide out",-0.027109524235129356
0,1,i find myself, disheartened by the seeming canny virtue of the situation. His speech was heeded by an,-0.020851649343967438
0,2,im not sure how i feel," about this. So who takes its cheesy shit. :/

Kitabai Razur:",-0.02831846848130226
0,3,im feeling more and more insecure,". In fact, that feeling is a difficult one to square with the movement towards that of Western anarchists",-0.021021926775574684
0,4,i love my baby so much, any time I read and see the packaging. The records don't move any! Bebop :),-0.02855239063501358
0,5,i have seen tiny, victims become strangely emaciated. These pictures illustrate on what the condition of live elephants in factory farms,-0.03443736582994461
0,6,i feel that the day will, come when the glory of Aleppo over overwhelms Murad and that their bottom line is that even after,-0.027088915929198265
0,7,i didnt and a half, month after he said it Beliveauro left real roove to get relationships. I scoured,-0.028416378423571587
0,8,i feel annoyed with dating less in," the long run, questioning responses from clients, fear that there couldn't be coordinated feelings in their relationship",-0.02459440380334854
0,9,i guess i," should come back, I shall not leave; why will nota I come back Sophocles sne",-0.02985769882798195
0,10,i decided tomorrow," and did not produce literary material for South Korea. He was similarly arrogant, quick to abandon his roots",-0.02953348681330681
0,11,i am really really upset that mine," isn't, and you just make it up because I thought Hey, that's retarded. But the",-0.024028221145272255
0,12,i dont know why but, i did have Battlelynia and such despite it being my first game and i tried it im really,-0.029263092204928398
0,13,i was happy too,". She told him to make good sense of what she had just pulled out of her, he gave",-0.01941806636750698
0,14,i can feel, Tifa burst into tears and He is going to tear apart his space cookies in only 1 minute.,-0.023946871981024742
0,15,i feel it s, bugs to know if you are dotting due to your nerd superpower. The prevalence of these flaw can,-0.02464393898844719
